CorrelationId: a79b0bc4-6a9b-43cb-863c-c4f80a9a713a
UTC DateTime: 04/07/2026 19:48:08

The following files/folders have not been downloaded
0. .pio/build/esp32dev/esp_driver_gpio/src
1. .pio/build/esp32dev/esp_driver_gptimer
2. .pio/build/esp32dev/esp_driver_i2c
3. .pio/build/esp32dev/esp_driver_i2s
4. .pio/build/esp32dev/esp_driver_ledc
5. .pio/build/esp32dev/esp_driver_mcpwm
6. .pio/build/esp32dev/esp_driver_pcnt
7. .pio/build/esp32dev/esp_driver_rmt
8. .pio/build/esp32dev/esp_driver_sdio
9. .pio/build/esp32dev/esp_driver_sdm
10. .pio/build/esp32dev/esp_driver_sdmmc
11. .pio/build/esp32dev/esp_driver_sdspi
12. .pio/build/esp32dev/esp_driver_spi
13. .pio/build/esp32dev/esp_driver_uart
14. .pio/build/esp32dev/esp_eth
15. .pio/build/esp32dev/esp_event
16. .pio/build/esp32dev/esp_gdbstub
17. .pio/build/esp32dev/esp_hid
18. .pio/build/esp32dev/esp_http_client
19. .pio/build/esp32dev/esp_http_server
20. .pio/build/esp32dev/esp_https_ota
21. .pio/build/esp32dev/esp_https_server
22. .pio/build/esp32dev/esp_hw_support
23. .pio/build/esp32dev/esp_lcd
24. .pio/build/esp32dev/esp_local_ctrl
25. .pio/build/esp32dev/esp_mm
26. .pio/build/esp32dev/esp_netif
27. .pio/build/esp32dev/esp_partition
28. .pio/build/esp32dev/esp_phy
29. .pio/build/esp32dev/esp_pm
30. .pio/build/esp32dev/esp_ringbuf
31. .pio/build/esp32dev/esp_rom
32. .pio/build/esp32dev/esp_security
33. .pio/build/esp32dev/esp_system
34. .pio/build/esp32dev/esp_timer
35. .pio/build/esp32dev/esp_vfs_console
36. .pio/build/esp32dev/esp_wifi
37. .pio/build/esp32dev/espcoredump
38. .pio/build/esp32dev/esp-idf
39. .pio/build/esp32dev/esp-tls
40. .pio/build/esp32dev/fatfs
41. .pio/build/esp32dev/freertos
42. .pio/build/esp32dev/gdbinit
43. .pio/build/esp32dev/hal
44. .pio/build/esp32dev/heap
45. .pio/build/esp32dev/http_parser
46. .pio/build/esp32dev/json
47. .pio/build/esp32dev/lib077
48. .pio/build/esp32dev/lib561
49. .pio/build/esp32dev/lib827
50. .pio/build/esp32dev/liba2f
51. .pio/build/esp32dev/libb67
52. .pio/build/esp32dev/libc9c
53. .pio/build/esp32dev/libd00
54. .pio/build/esp32dev/libdde
55. .pio/build/esp32dev/libfb5
56. .pio/build/esp32dev/libff6
57. .pio/build/esp32dev/log
58. .pio/build/esp32dev/lwip
59. .pio/build/esp32dev/mbedtls
60. .pio/build/esp32dev/mqtt
61. .pio/build/esp32dev/newlib
62. .pio/build/esp32dev/nvs_flash
63. .pio/build/esp32dev/nvs_sec_provider
64. .pio/build/esp32dev/perfmon
65. .pio/build/esp32dev/protobuf-c
66. .pio/build/esp32dev/protocomm
67. .pio/build/esp32dev/pthread
68. .pio/build/esp32dev/rt
69. .pio/build/esp32dev/sdmmc
70. .pio/build/esp32dev/soc
71. .pio/build/esp32dev/spi_flash
72. .pio/build/esp32dev/spiffs
73. .pio/build/esp32dev/src
74. .pio/build/esp32dev/tcp_transport
75. .pio/build/esp32dev/unity
76. .pio/build/esp32dev/vfs
77. .pio/build/esp32dev/wear_levelling
78. .pio/build/esp32dev/wifi_provisioning
79. .pio/build/esp32dev/wpa_supplicant
80. .pio/build/esp32dev/xtensa
81. .pio/build/esp32dev/app-flash_args
82. .pio/build/esp32dev/bootloader.bin
83. .pio/build/esp32dev/bootloader.elf
84. .pio/build/esp32dev/bootloader-flash_args
85. .pio/build/esp32dev/build.ninja
86. .pio/build/esp32dev/cmake_install.cmake
87. .pio/build/esp32dev/CMakeCache.txt
88. .pio/build/esp32dev/compile_commands.json
89. .pio/build/esp32dev/config.env
90. .pio/build/esp32dev/firmware.bin
91. .pio/build/esp32dev/firmware.elf
92. .pio/build/esp32dev/firmware.map
93. .pio/build/esp32dev/flash_app_args
94. .pio/build/esp32dev/flash_args
95. .pio/build/esp32dev/flash_args.in
96. .pio/build/esp32dev/flash_bootloader_args
97. .pio/build/esp32dev/flash_project_args
98. .pio/build/esp32dev/flasher_args.json
99. .pio/build/esp32dev/idedata.json
100. .pio/build/esp32dev/kconfigs.in
101. .pio/build/esp32dev/kconfigs_projbuild.in
102. .pio/build/esp32dev/ldgen_libraries
103. .pio/build/esp32dev/ldgen_libraries.in
104. .pio/build/esp32dev/ldgen_libraries_pio
105. .pio/build/esp32dev/memory.ld
106. .pio/build/esp32dev/partitions.bin
107. .pio/build/esp32dev/partition-table-flash_args
108. .pio/build/esp32dev/project_description.json
109. .pio/build/esp32dev/sections.ld
110. .pio/build/esp32dev/x509_crt_bundle
111. .pio/build/esp32dev/x509_crt_bundle.S
